Title,Department,Category,Author,Availability,Link
Alresdiwqwdesad Wqjasdm,Computer Science,Management Systems,Juril Digamon,Public,https://docs.google.com/document/d/1megalUtwdfQcTnbrDJ0dTVJprugZ3fpVtxb76epyvw0/edit?usp=sharing
Bdwqdiojasdsa Wasdwqposd,Biology,Management Systems,Liruj Nomagid,After Consultation,Not Available
Casdasdasdsad,Psychology,Management Systems,Christian Luke Encabo,Private,Not Available
Dxcedwijoddscs,Biology,Management Systems,Kathleen Raganas,Public,https://docs.google.com/document/d/1megalUtwdfQcTnbrDJ0dTVJprugZ3fpVtxb76epyvw0/edit?usp=sharing
Eeqwsadwec,Math,Management Systems,Brandon Flores,After Consultation,Not Available
Fqwdokwqoppsc,Mass Communication,Management Systems,Didi Digamon,Private,Not Available
Gdaskdmaslwq,Computer Science,Management Systems,Ben Digamon,Public,https://docs.google.com/document/d/1megalUtwdfQcTnbrDJ0dTVJprugZ3fpVtxb76epyvw0/edit?usp=sharing
Hopwkqodsaoiasdlkwqd,Computer Science,Management Systems,Chase Digamon,After Consultation,Not Available
Iadaskdsadmsakdsa,Management,Management Systems,Earl Malaki,Private,Not Available
Jopdkowqpdkosaoc,Political Science,Management Systems,Tim Paler,Public,https://docs.google.com/document/d/1megalUtwdfQcTnbrDJ0dTVJprugZ3fpVtxb76epyvw0/edit?usp=sharing
Ldlwkdpokqwopkd;lsc,Computer Science,Management Systems,Mark Cobo,After Consultation,Not Available
"Mwqkdopsao;csla,c",Biology,Management Systems,Leigh Lapura,Private,Not Available
Nwqodkopasxss,Math,Management Systems,Jerome Requioma,Public,https://docs.google.com/document/d/1megalUtwdfQcTnbrDJ0dTVJprugZ3fpVtxb76epyvw0/edit?usp=sharing
Oalssmsosoxkqw,Math,Management Systems,Rocelle Cadavos,Public,https://docs.google.com/document/d/1megalUtwdfQcTnbrDJ0dTVJprugZ3fpVtxb76epyvw0/edit?usp=sharing
Pdwoqpkdpkqw Wqsackowqc,Management,Management Systems,Phoebe Erandio,After Consultation,Not Available
Quaker Oats,Political Science,Management Systems,Marianne Abenoja,Private,Not Available
Rgnarok Online,Psychology,Management Systems,ASDasddsafewfds asdas,Public,https://docs.google.com/document/d/1megalUtwdfQcTnbrDJ0dTVJprugZ3fpVtxb76epyvw0/edit?usp=sharing
Sample Input,Fine Arts,Management Systems,dasdasdwrdsgsd,After Consultation,Not Available
Title,Fine Arts,Management Systems,daewrewrcsv,Private,Not Available
Underlord,Fine Arts,Management Systems,fewgerbdff,Public,https://docs.google.com/document/d/1megalUtwdfQcTnbrDJ0dTVJprugZ3fpVtxb76epyvw0/edit?usp=sharing
Violet Power,Mass Communication,Management Systems,eqweqwedxs,After Consultation,Not Available
Weng weng,Computer Science,Management Systems,bergregfe,Private,Not Available
Xxaxaxaxaxaxaxa,Mass Communication,Management Systems,qwewqdd,Public,https://docs.google.com/document/d/1megalUtwdfQcTnbrDJ0dTVJprugZ3fpVtxb76epyvw0/edit?usp=sharing
Yeeeeeeeeeet,Math,Management Systems,fwefergerq,After Consultation,Not Available
Zorse Acxzpckwoed,Biology,Management Systems,eqweqwedqwqw,Private,Not Available
